"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 12 13:52:03 GMT 2023","Wed Jul 12 13:52:32 GMT 2023","28996","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и наложенным платежом",""
"failed","Wed Jul 12 13:52:32 GMT 2023","Wed Jul 12 13:53:06 GMT 2023","33123","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и наложенным платежом",""
"passed","Wed Jul 12 13:53:25 GMT 2023","Wed Jul 12 13:53:30 GMT 2023","4529","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"passed","Wed Jul 12 13:53:30 GMT 2023","Wed Jul 12 13:53:35 GMT 2023","5721","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"skipped","Wed Jul 12 13:52:32 GMT 2023","Wed Jul 12 13:52:32 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой",""
"passed","Wed Jul 12 13:53:12 GMT 2023","Wed Jul 12 13:53:17 GMT 2023","5824","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"passed","Wed Jul 12 13:53:17 GMT 2023","Wed Jul 12 13:53:25 GMT 2023","7636","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"passed","Wed Jul 12 13:53:06 GMT 2023","Wed Jul 12 13:53:12 GMT 2023","5907","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Wed Jul 12 13:51:30 GMT 2023","Wed Jul 12 13:52:03 GMT 2023","33158","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
