"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 10 07:23:23 GMT 2023","Mon Jul 10 07:24:32 GMT 2023","69917","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"skipped","Mon Jul 10 07:23:22 GMT 2023","Mon Jul 10 07:23:22 GMT 2023","0","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_post","Оформление заказа с доставкой почтой России и наложенным платежом",""
"passed","Mon Jul 10 07:24:32 GMT 2023","Mon Jul 10 07:25:03 GMT 2023","30944","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"failed","Mon Jul 10 07:25:10 GMT 2023","Mon Jul 10 07:26:14 GMT 2023","63905","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"skipped","Mon Jul 10 07:23:22 GMT 2023","Mon Jul 10 07:23:22 GMT 2023","1","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_courier","Оформление заказа с доставкой курьером и наложенным платежом",""
"skipped","Mon Jul 10 07:23:22 GMT 2023","Mon Jul 10 07:23:22 GMT 2023","0","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_courier_payCard","Оформление заказа с доставкой курьером и оплатой картой",""
"passed","Mon Jul 10 07:26:14 GMT 2023","Mon Jul 10 07:26:18 GMT 2023","4626","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"passed","Mon Jul 10 07:25:03 GMT 2023","Mon Jul 10 07:25:10 GMT 2023","6387","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
