"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 11 16:14:59 GMT 2023","Tue Jul 11 16:15:16 GMT 2023","16668","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"passed","Tue Jul 11 16:16:12 GMT 2023","Tue Jul 11 16:16:16 GMT 2023","4257","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"passed","Tue Jul 11 16:16:03 GMT 2023","Tue Jul 11 16:16:08 GMT 2023","4585","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"passed","Tue Jul 11 16:16:08 GMT 2023","Tue Jul 11 16:16:12 GMT 2023","4219","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"failed","Tue Jul 11 16:15:16 GMT 2023","Tue Jul 11 16:15:36 GMT 2023","19636","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и наложенным платежом",""
"failed","Tue Jul 11 16:15:36 GMT 2023","Tue Jul 11 16:15:59 GMT 2023","22873","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и наложенным платежом",""
"passed","Tue Jul 11 16:15:59 GMT 2023","Tue Jul 11 16:16:03 GMT 2023","4184","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Tue Jul 11 16:16:16 GMT 2023","Tue Jul 11 16:16:20 GMT 2023","4124","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"skipped","Tue Jul 11 16:15:36 GMT 2023","Tue Jul 11 16:15:36 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой",""
