"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Старый чекаут","Успешное оформление заказа","0","0","0","3","0"
"","Поиск","Успешное исправление результатов","2","0","3","0","0"
