"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 11 11:52:20 GMT 2023","Tue Jul 11 11:52:25 GMT 2023","5450","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"passed","Tue Jul 11 11:52:14 GMT 2023","Tue Jul 11 11:52:20 GMT 2023","5989","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"failed","Tue Jul 11 11:51:37 GMT 2023","Tue Jul 11 11:52:08 GMT 2023","31031","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и наложенным платежом",""
"passed","Tue Jul 11 11:52:08 GMT 2023","Tue Jul 11 11:52:14 GMT 2023","5492","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Tue Jul 11 11:52:25 GMT 2023","Tue Jul 11 11:52:32 GMT 2023","6483","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"failed","Tue Jul 11 11:50:35 GMT 2023","Tue Jul 11 11:51:11 GMT 2023","35544","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и наложенным платежом",""
"passed","Tue Jul 11 11:52:32 GMT 2023","Tue Jul 11 11:52:38 GMT 2023","6173","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"passed","Tue Jul 11 11:50:11 GMT 2023","Tue Jul 11 11:50:35 GMT 2023","23468","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"failed","Tue Jul 11 11:51:11 GMT 2023","Tue Jul 11 11:51:37 GMT 2023","26548","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой",""
