"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Старый чекаут","Успешное оформление заказа","0","0","0","3","0"
"","Поиск","Успешное исправление результатов","1","0","4","0","0"
"","Окно авторизации/регистрации","Успешная авторизация","0","0","1","0","0"
