"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 10 20:18:02 GMT 2023","Mon Jul 10 20:18:19 GMT 2023","16904","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"failed","Mon Jul 10 20:18:29 GMT 2023","Mon Jul 10 20:18:43 GMT 2023","14233","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"skipped","Mon Jul 10 20:18:02 GMT 2023","Mon Jul 10 20:18:02 GMT 2023","1","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и наложенным платежом",""
"skipped","Mon Jul 10 20:18:02 GMT 2023","Mon Jul 10 20:18:02 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой",""
"passed","Mon Jul 10 20:18:19 GMT 2023","Mon Jul 10 20:18:25 GMT 2023","5932","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"skipped","Mon Jul 10 20:18:02 GMT 2023","Mon Jul 10 20:18:02 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и наложенным платежом",""
"passed","Mon Jul 10 20:18:25 GMT 2023","Mon Jul 10 20:18:29 GMT 2023","3898","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"passed","Mon Jul 10 20:18:43 GMT 2023","Mon Jul 10 20:18:47 GMT 2023","3751","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
