"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 10 07:05:55 GMT 2023","Mon Jul 10 07:07:04 GMT 2023","68724","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"skipped","Mon Jul 10 07:04:40 GMT 2023","Mon Jul 10 07:04:40 GMT 2023","0","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_courier_payCard","Оформление заказа с доставкой курьером и оплатой картой",""
"passed","Mon Jul 10 07:07:11 GMT 2023","Mon Jul 10 07:07:16 GMT 2023","5114","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"failed","Mon Jul 10 07:04:40 GMT 2023","Mon Jul 10 07:05:48 GMT 2023","67805","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"skipped","Mon Jul 10 07:04:40 GMT 2023","Mon Jul 10 07:04:40 GMT 2023","0","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_post","Оформление заказа с доставкой почтой России и наложенным платежом",""
"skipped","Mon Jul 10 07:04:40 GMT 2023","Mon Jul 10 07:04:40 GMT 2023","1","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_courier","Оформление заказа с доставкой курьером и наложенным платежом",""
"passed","Mon Jul 10 07:05:48 GMT 2023","Mon Jul 10 07:05:55 GMT 2023","7236","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"passed","Mon Jul 10 07:07:04 GMT 2023","Mon Jul 10 07:07:11 GMT 2023","6449","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
