"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Поиск","Успешное исправление результатов","3","0","2","0","0"
"","Старый чекаут","Успешное оформление заказа","0","0","0","3","0"
