"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 26 09:46:11 GMT 2023","Wed Jul 26 09:46:11 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой анонимом",""
"passed","Wed Jul 26 09:48:32 GMT 2023","Wed Jul 26 09:48:43 GMT 2023","11192","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"failed","Wed Jul 26 09:44:29 GMT 2023","Wed Jul 26 09:45:24 GMT 2023","54999","","sanity.OldCheckout","","sanity.OldCheckout","testName","Оформление заказа с доставкой почтой и НП авторизованным пользователем",""
"passed","Wed Jul 26 09:43:51 GMT 2023","Wed Jul 26 09:44:29 GMT 2023","38059","","sanity.OldCheckout","","sanity.OldCheckout","testName2","Оформление заказа с доставкой курьером и НП авторизованным пользователем",""
"passed","Wed Jul 26 09:45:24 GMT 2023","Wed Jul 26 09:46:11 GMT 2023","46788","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и НП анонимом",""
"passed","Wed Jul 26 09:47:13 GMT 2023","Wed Jul 26 09:47:23 GMT 2023","10993","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"failed","Wed Jul 26 09:47:24 GMT 2023","Wed Jul 26 09:48:18 GMT 2023","54475","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"passed","Wed Jul 26 09:47:01 GMT 2023","Wed Jul 26 09:47:12 GMT 2023","11587","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Wed Jul 26 09:48:18 GMT 2023","Wed Jul 26 09:48:32 GMT 2023","13986","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"passed","Wed Jul 26 09:43:27 GMT 2023","Wed Jul 26 09:43:51 GMT 2023","24194","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"passed","Wed Jul 26 09:46:11 GMT 2023","Wed Jul 26 09:47:01 GMT 2023","49631","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и НП анонимом",""
