"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 15 08:13:43 GMT 2023","Sat Jul 15 08:13:48 GMT 2023","5481","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"failed","Sat Jul 15 08:12:40 GMT 2023","Sat Jul 15 08:13:12 GMT 2023","31899","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и наложенным платежом",""
"passed","Sat Jul 15 08:11:29 GMT 2023","Sat Jul 15 08:11:49 GMT 2023","20814","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"passed","Sat Jul 15 08:13:19 GMT 2023","Sat Jul 15 08:13:25 GMT 2023","5908","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"passed","Sat Jul 15 08:13:48 GMT 2023","Sat Jul 15 08:13:54 GMT 2023","5780","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"failed","Sat Jul 15 08:11:50 GMT 2023","Sat Jul 15 08:12:40 GMT 2023","50409","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и наложенным платежом",""
"passed","Sat Jul 15 08:13:12 GMT 2023","Sat Jul 15 08:13:19 GMT 2023","7317","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"failed","Sat Jul 15 08:13:25 GMT 2023","Sat Jul 15 08:13:43 GMT 2023","17695","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"skipped","Sat Jul 15 08:12:40 GMT 2023","Sat Jul 15 08:12:40 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой",""
