"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 24 09:38:03 GMT 2023","Mon Jul 24 09:38:34 GMT 2023","31308","","sanity.OldCheckout","","sanity.OldCheckout","testName","Оформление заказа с доставкой почтой и НП авторизованным пользователем",""
"failed","Mon Jul 24 09:38:34 GMT 2023","Mon Jul 24 09:39:05 GMT 2023","31006","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и НП анонимом",""
"failed","Mon Jul 24 09:41:59 GMT 2023","Mon Jul 24 09:42:35 GMT 2023","35744","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"failed","Mon Jul 24 09:40:12 GMT 2023","Mon Jul 24 09:40:48 GMT 2023","35775","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"failed","Mon Jul 24 09:37:32 GMT 2023","Mon Jul 24 09:38:03 GMT 2023","31102","","sanity.OldCheckout","","sanity.OldCheckout","testName2","Оформление заказа с доставкой курьером и НП авторизованным пользователем",""
"failed","Mon Jul 24 09:40:48 GMT 2023","Mon Jul 24 09:41:24 GMT 2023","35742","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"skipped","Mon Jul 24 09:39:05 GMT 2023","Mon Jul 24 09:39:05 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой анонимом",""
"failed","Mon Jul 24 09:36:57 GMT 2023","Mon Jul 24 09:37:31 GMT 2023","33928","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"failed","Mon Jul 24 09:41:24 GMT 2023","Mon Jul 24 09:41:59 GMT 2023","35758","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"failed","Mon Jul 24 09:39:36 GMT 2023","Mon Jul 24 09:40:12 GMT 2023","35860","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"failed","Mon Jul 24 09:39:05 GMT 2023","Mon Jul 24 09:39:36 GMT 2023","31017","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и НП анонимом",""
