"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 13:13:01 GMT 2023","Wed Jul 26 13:13:12 GMT 2023","10813","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Wed Jul 26 13:14:03 GMT 2023","Wed Jul 26 13:14:13 GMT 2023","9888","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"passed","Wed Jul 26 13:10:39 GMT 2023","Wed Jul 26 13:11:19 GMT 2023","39446","","sanity.OldCheckout","","sanity.OldCheckout","testName","Оформление заказа с доставкой почтой и НП авторизованным пользователем",""
"passed","Wed Jul 26 13:09:46 GMT 2023","Wed Jul 26 13:10:39 GMT 2023","53882","","sanity.OldCheckout","","sanity.OldCheckout","testName2","Оформление заказа с доставкой курьером и НП авторизованным пользователем",""
"passed","Wed Jul 26 13:09:23 GMT 2023","Wed Jul 26 13:09:45 GMT 2023","22661","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"passed","Wed Jul 26 13:14:13 GMT 2023","Wed Jul 26 13:14:22 GMT 2023","9533","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"failed","Wed Jul 26 13:13:22 GMT 2023","Wed Jul 26 13:14:03 GMT 2023","40731","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"skipped","Wed Jul 26 13:12:08 GMT 2023","Wed Jul 26 13:12:08 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой анонимом",""
"passed","Wed Jul 26 13:13:12 GMT 2023","Wed Jul 26 13:13:22 GMT 2023","10326","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"passed","Wed Jul 26 13:12:08 GMT 2023","Wed Jul 26 13:13:01 GMT 2023","53351","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и НП анонимом",""
"passed","Wed Jul 26 13:11:19 GMT 2023","Wed Jul 26 13:12:08 GMT 2023","48680","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и НП анонимом",""
