"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 21 14:16:31 GMT 2023","Fri Jul 21 14:17:06 GMT 2023","35314","","sanity.OldCheckout","","sanity.OldCheckout","testName","Оформление заказа с доставкой почтой и НП авторизованным пользователем",""
"passed","Fri Jul 21 14:15:53 GMT 2023","Fri Jul 21 14:16:31 GMT 2023","37675","","sanity.OldCheckout","","sanity.OldCheckout","testName2","Оформление заказа с доставкой курьером и НП авторизованным пользователем",""
"passed","Fri Jul 21 14:15:38 GMT 2023","Fri Jul 21 14:15:53 GMT 2023","14889","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"passed","Fri Jul 21 14:19:46 GMT 2023","Fri Jul 21 14:19:54 GMT 2023","7942","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"passed","Fri Jul 21 14:19:26 GMT 2023","Fri Jul 21 14:19:38 GMT 2023","11408","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"passed","Fri Jul 21 14:18:36 GMT 2023","Fri Jul 21 14:19:08 GMT 2023","31692","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и НП анонимом",""
"failed","Fri Jul 21 14:17:44 GMT 2023","Fri Jul 21 14:18:36 GMT 2023","52403","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой анонимом",""
"passed","Fri Jul 21 14:19:08 GMT 2023","Fri Jul 21 14:19:17 GMT 2023","8527","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Fri Jul 21 14:19:38 GMT 2023","Fri Jul 21 14:19:46 GMT 2023","7852","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"failed","Fri Jul 21 14:17:06 GMT 2023","Fri Jul 21 14:17:44 GMT 2023","38014","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и НП анонимом",""
"passed","Fri Jul 21 14:19:17 GMT 2023","Fri Jul 21 14:19:26 GMT 2023","9512","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
