"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 20:28:05 GMT 2023","Mon Jul 10 20:28:13 GMT 2023","8012","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"skipped","Mon Jul 10 20:27:47 GMT 2023","Mon Jul 10 20:27:47 GMT 2023","1","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой",""
"skipped","Mon Jul 10 20:27:47 GMT 2023","Mon Jul 10 20:27:47 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и наложенным платежом",""
"passed","Mon Jul 10 20:27:48 GMT 2023","Mon Jul 10 20:27:59 GMT 2023","11616","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Mon Jul 10 20:28:19 GMT 2023","Mon Jul 10 20:28:25 GMT 2023","6002","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"passed","Mon Jul 10 20:28:13 GMT 2023","Mon Jul 10 20:28:19 GMT 2023","5770","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"skipped","Mon Jul 10 20:27:47 GMT 2023","Mon Jul 10 20:27:47 GMT 2023","1","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и наложенным платежом",""
"passed","Mon Jul 10 20:27:59 GMT 2023","Mon Jul 10 20:28:05 GMT 2023","6136","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
