"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Старый чекаут","Успешное оформление заказа анонимом","2","0","1","0","0"
"","Старый чекаут","Успешное оформление заказа авторизованным пользователем","1","0","1","0","0"
"","Окно авторизации/регистрации","Успешная авторизация","0","0","1","0","0"
"","Поиск","Успешное исправление результатов","1","0","4","0","0"
