"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 20 20:24:20 GMT 2023","Thu Jul 20 20:25:14 GMT 2023","54352","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой анонимом",""
"failed","Thu Jul 20 20:23:10 GMT 2023","Thu Jul 20 20:23:46 GMT 2023","36334","","sanity.OldCheckout","","sanity.OldCheckout","testName","Оформление заказа с доставкой почтой и НП авторизованным пользователем",""
"passed","Thu Jul 20 20:22:14 GMT 2023","Thu Jul 20 20:22:33 GMT 2023","19717","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"failed","Thu Jul 20 20:26:11 GMT 2023","Thu Jul 20 20:26:50 GMT 2023","39374","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"passed","Thu Jul 20 20:25:53 GMT 2023","Thu Jul 20 20:26:02 GMT 2023","8951","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"passed","Thu Jul 20 20:26:02 GMT 2023","Thu Jul 20 20:26:11 GMT 2023","8648","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"passed","Thu Jul 20 20:26:50 GMT 2023","Thu Jul 20 20:26:59 GMT 2023","8783","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"failed","Thu Jul 20 20:25:14 GMT 2023","Thu Jul 20 20:25:53 GMT 2023","39361","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и НП анонимом",""
"passed","Thu Jul 20 20:23:46 GMT 2023","Thu Jul 20 20:24:20 GMT 2023","33392","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и НП анонимом",""
"passed","Thu Jul 20 20:26:59 GMT 2023","Thu Jul 20 20:27:08 GMT 2023","8415","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"passed","Thu Jul 20 20:22:34 GMT 2023","Thu Jul 20 20:23:10 GMT 2023","35971","","sanity.OldCheckout","","sanity.OldCheckout","testName2","Оформление заказа с доставкой курьером и НП авторизованным пользователем",""
