"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 10 07:13:45 GMT 2023","Mon Jul 10 07:14:54 GMT 2023","69584","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"skipped","Mon Jul 10 07:13:44 GMT 2023","Mon Jul 10 07:13:44 GMT 2023","0","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_post","Оформление заказа с доставкой почтой России и наложенным платежом",""
"failed","Mon Jul 10 07:14:59 GMT 2023","Mon Jul 10 07:16:04 GMT 2023","64722","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"skipped","Mon Jul 10 07:13:44 GMT 2023","Mon Jul 10 07:13:44 GMT 2023","1","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_courier","Оформление заказа с доставкой курьером и наложенным платежом",""
"passed","Mon Jul 10 07:16:09 GMT 2023","Mon Jul 10 07:16:14 GMT 2023","4599","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"skipped","Mon Jul 10 07:13:44 GMT 2023","Mon Jul 10 07:13:44 GMT 2023","0","","createOrders.OldCheckout","","createOrders.OldCheckout","succesful_Order_with_delivery_courier_payCard","Оформление заказа с доставкой курьером и оплатой картой",""
"passed","Mon Jul 10 07:14:54 GMT 2023","Mon Jul 10 07:14:59 GMT 2023","4953","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"passed","Mon Jul 10 07:16:04 GMT 2023","Mon Jul 10 07:16:09 GMT 2023","5469","","createOrders.SearchResults","","createOrders.SearchResults","checkingTheCorrectionOfSearchResults2","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
